epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,671.322,0.73586,0.52042,0.12025,0.47874,1.03607,0.98457,1,0.995,0.90086,0.98457,1,0.995,0.995,0.41878,0.21222,0.01446,0.41038,0.93313,0.000878864,0.000878864,0.000878864
93,678.646,0.72021,0.5057,0.12679,0.48365,1.01312,0.98886,1,0.995,0.95954,0.98886,1,0.995,0.995,0.36908,0.14991,0.01533,0.39463,0.91885,0.000876305,0.000876305,0.000876305
94,686.256,0.69972,0.40986,0.13277,0.45318,1.01445,0.99143,1,0.995,0.95645,0.99143,1,0.995,0.995,0.36434,0.17729,0.0163,0.32702,0.89777,0.000873723,0.000873723,0.000873723
95,693.473,0.70356,0.42676,0.10711,0.45825,1.02723,0.99138,1,0.995,0.93021,0.99138,1,0.995,0.96448,0.40284,0.45209,0.01636,0.41946,0.94484,0.000871117,0.000871117,0.000871117
96,700.632,0.72371,0.42134,0.10998,0.48515,1.04637,0.99075,1,0.995,0.9083,0.99075,1,0.995,0.995,0.55871,0.21988,0.01931,0.38258,1.00936,0.00086849,0.00086849,0.00086849
97,707.756,0.70041,0.39788,0.10176,0.46832,1.03592,0.98942,1,0.995,0.9124,0.98942,1,0.995,0.995,0.56911,0.19513,0.01493,0.36436,1.00188,0.000865839,0.000865839,0.000865839
98,715.229,0.71892,0.47583,0.119,0.47338,1.05718,0.98992,1,0.995,0.91848,0.98992,1,0.995,0.995,0.44608,0.18176,0.02348,0.33776,0.96093,0.000863167,0.000863167,0.000863167
99,722.782,0.68548,0.49097,0.10368,0.45103,1.03119,0.99053,1,0.995,0.9224,0.99053,1,0.995,0.995,0.42675,0.16669,0.02908,0.32215,0.95231,0.000860473,0.000860473,0.000860473
100,730.104,0.69608,0.54163,0.11082,0.47246,1.01977,0.99085,1,0.995,0.91326,0.99085,1,0.995,0.995,0.52225,0.20026,0.02382,0.40259,0.9731,0.000857756,0.000857756,0.000857756
101,737.426,0.67154,0.43843,0.12256,0.45645,1.02163,0.86589,1,0.995,0.93044,0.86589,1,0.995,0.9406,0.4345,0.28242,0.01823,0.41423,0.92779,0.000855018,0.000855018,0.000855018
102,744.818,0.70786,0.4635,0.1284,0.44785,1.03172,0.98998,1,0.995,0.88022,0.98998,1,0.995,0.96855,0.75933,0.22959,0.02679,0.43931,1.14165,0.000852258,0.000852258,0.000852258
103,752.033,0.71085,0.4279,0.1171,0.44319,1.04351,0.99001,1,0.995,0.91867,0.99001,1,0.995,0.995,0.43782,0.19267,0.03507,0.35865,0.95198,0.000849477,0.000849477,0.000849477
104,759.196,0.68488,0.46096,0.10526,0.44914,1.02771,0.99052,1,0.995,0.93793,0.99052,1,0.995,0.995,0.42533,0.14236,0.01545,0.33125,0.92323,0.000846674,0.000846674,0.000846674
105,766.52,0.68681,0.42673,0.10752,0.43507,1.0184,0.99036,1,0.995,0.8991,0.99036,1,0.995,0.977,0.43705,0.1857,0.0104,0.3108,0.96592,0.000843851,0.000843851,0.000843851
106,773.635,0.67796,0.38515,0.09631,0.43622,1.01633,0.99155,1,0.995,0.90326,0.99155,1,0.995,0.995,0.38765,0.16929,0.00939,0.34499,0.93486,0.000841006,0.000841006,0.000841006
107,780.949,0.7185,0.45119,0.10811,0.45921,1.05199,0.94366,1,0.995,0.8955,0.94366,1,0.995,0.995,0.52717,0.12866,0.00924,0.37709,0.98568,0.000838141,0.000838141,0.000838141
108,788.235,0.70122,0.4342,0.10263,0.47076,1.03092,0.99057,1,0.995,0.9596,0.99057,1,0.995,0.96569,0.42267,0.185,0.02391,0.3939,0.92336,0.000835255,0.000835255,0.000835255
109,795.603,0.70174,0.34045,0.11744,0.45129,1.01413,0.99118,1,0.995,0.94611,0.99118,1,0.995,0.995,0.4301,0.18407,0.02425,0.37436,0.93894,0.000832349,0.000832349,0.000832349
110,803.036,0.72832,0.4206,0.12504,0.46152,1.0296,0.98967,1,0.995,0.97378,0.98967,1,0.995,0.995,0.3486,0.1925,0.02394,0.35235,0.91493,0.000829423,0.000829423,0.000829423
111,810.286,0.68352,0.36158,0.11013,0.43602,1.00822,0.98995,1,0.995,0.93348,0.98995,1,0.995,0.995,0.38306,0.12588,0.02421,0.35721,0.91904,0.000826477,0.000826477,0.000826477
112,817.492,0.65743,0.35459,0.09777,0.4239,1.00571,0.98939,1,0.995,0.95695,0.98939,1,0.995,0.995,0.33583,0.16657,0.01473,0.33935,0.89788,0.000823511,0.000823511,0.000823511
113,824.666,0.61268,0.35451,0.08821,0.41845,0.96703,0.99053,1,0.995,0.9303,0.99053,1,0.995,0.995,0.46631,0.12737,0.00857,0.29522,0.94369,0.000820525,0.000820525,0.000820525
114,831.648,0.67494,0.41552,0.10121,0.44403,1.02008,0.99164,1,0.995,0.92844,0.99164,1,0.995,0.995,0.45121,0.10818,0.00921,0.29509,0.94032,0.00081752,0.00081752,0.00081752
115,838.609,0.67957,0.44937,0.11818,0.4491,1.03288,1,1,0.995,0.8955,1,1,0.995,0.97747,0.52312,0.18887,0.01645,0.31937,1.01926,0.000814495,0.000814495,0.000814495
116,845.784,0.6186,0.46752,0.09428,0.42,0.98955,0.99153,1,0.995,0.8955,0.99153,1,0.995,0.995,0.48863,0.1281,0.01672,0.349,1.00389,0.000811452,0.000811452,0.000811452
117,853.201,0.66053,0.35366,0.09847,0.42314,1.00281,0.9908,1,0.995,0.9048,0.9908,1,0.995,0.995,0.51287,0.14492,0.01543,0.3483,1.00389,0.000808389,0.000808389,0.000808389
118,860.361,0.63278,0.36547,0.10366,0.41899,1.00651,0.99175,1,0.995,0.8955,0.99175,1,0.995,0.995,0.49548,0.14096,0.01566,0.29331,0.96246,0.000805308,0.000805308,0.000805308
119,867.709,0.7342,0.39792,0.10256,0.45399,1.04527,0.99184,1,0.995,0.93476,0.99184,1,0.995,0.9841,0.43279,0.18335,0.02579,0.31085,0.92864,0.000802208,0.000802208,0.000802208
120,875.155,0.62349,0.31926,0.09695,0.41868,1.00691,0.99121,1,0.995,0.95652,0.99121,1,0.995,0.995,0.32919,0.1706,0.01942,0.29024,0.87708,0.00079909,0.00079909,0.00079909
121,882.342,0.6829,0.38791,0.11768,0.43751,1.00298,0.98644,1,0.995,0.90648,0.98644,1,0.995,0.995,0.52833,0.16618,0.0191,0.30084,0.97518,0.000795954,0.000795954,0.000795954
122,889.426,0.66323,0.36926,0.10382,0.43413,1.01327,0.98707,1,0.995,0.91501,0.98707,1,0.995,0.97982,0.44028,0.1859,0.01565,0.30525,0.94929,0.0007928,0.0007928,0.0007928
